Accident_ID,Date,Year,Month,Day,Day_of_Week,Time,Quarter,State,District,Region,Urban_Rural,Highway_Type,Road_Type,Weather,Visibility,Road_Condition,Light_Condition,Traffic_Density,Vehicle_Type,Number_of_Vehicles,Driver_Age,Driver_Gender,Driver_Experience_Years,Speed_Limit,Estimated_Speed,Helmet_Used,Seatbelt_Used,Alcohol_Involved,Mobile_Phone_Usage,Accident_Cause,Collision_Type,Severity,Number_of_Casualties,Number_of_Fatalities,Number_of_Injured,Emergency_Response_Time_Minutes,Hospital_Nearby,Vehicle_Damage_Cost,Insurance_Claim,FIR_Registered,Hit_and_Run,Festival_Season,Holiday,Rainfall_mm,Temperature,Latitude,Longitude
ACC100763,12-01-2024,2024,1,12,Friday,19:31,Q1,Delhi,Delhi_District-7,North,Urban,Village Road,Junction,Cloudy,Moderate,Dry,Night - Streetlight,Moderate,Bus,1,43,Male,20,30,38,N/A,N/A,No,No,Pedestrian Crossing Negligence,Pedestrian Hit,Minor,0,0,0,23,Yes,20199,Yes,No,No,No,No,1.2,27.6,29.3586,76.7246
ACC101713,06-07-2024,2024,7,6,Saturday,18:54,Q3,Madhya Pradesh,Madhya_District-2,Central,Rural,Expressway,Junction,Cloudy,Moderate,Under Construction,Dusk/Dawn,Very High,Auto-Rickshaw,2,35,Male,15,100,86,N/A,N/A,No,No,Overspeeding,Rear-end Collision,Minor,1,0,1,26,No,10111,Yes,Yes,Yes,No,No,0.3,18.7,23.5009,78.0508
ACC101157,10-04-2023,2023,4,10,Monday,08:51,Q2,Kerala,Kerala_District-1,South,Urban,National Highway,Bridge,Foggy,Very Poor,,Daylight,Moderate,Auto-Rickshaw,1,18,Male,0,80,70,N/A,N/A,No,No,Overtaking,Side Collision,Fatal,24,1,1,16,Yes,146081,No,Yes,No,No,No,0.1,26.4,11.2076,77.5879
ACC101413,22-09-2023,2023,9,22,Friday,06:37,Q3,Rajasthan,Rajasthan_District-3,North,Rural,Expressway,Curve/Bend,Clear,Good,Wet,Dusk/Dawn,Moderate,Two-Wheeler,3,46,Female,21,100,119,No,N/A,No,No,Overspeeding,Rear-end Collision,Serious,1,0,1,20,Yes,57011,Yes,Yes,No,No,No,0.8,26,27.6023,74.562
ACC101526,22-08-2023,2023,8,22,Tuesday,01:49,Q3,Uttar Pradesh,Uttar_District-7,North,Urban,City Road,Junction,Clear,Good,Dry,Night - Streetlight,Low,Two-Wheeler,2,31,Male,9,40,51,Yes,N/A,No,No,Pedestrian Crossing Negligence,Rear-end Collision,Minor,1,0,1,17,Yes,8744,No,No,No,No,No,3.1,21.9,26.6849,81.0426
ACC100502,10-08-2023,2023,8,10,Thursday,22:52,Q3,Chhattisgarh,Chhattisgarh_District-8,Central,Urban,Expressway,Junction,Cloudy,Moderate,Dry,Night - Streetlight,Very High,Two-Wheeler,1,32,Male,9,100,137,Yes,N/A,No,No,Wrong Side Driving,Hit and Run,Serious,2,0,2,36,No,78999,Yes,Yes,Yes,No,Yes,1.8,16.7,20.7557,82.0939
ACC100801,18-08-2024,2024,8,18,Sunday,16:55,Q3,Uttar Pradesh,Uttar_District-3,North,Urban,State Highway,Curve/Bend,Foggy,Very Poor,Dry,Daylight,High,Two-Wheeler,2,32,Male,13,60,48,Yes,N/A,No,No,Overtaking,Hit and Run,Minor,2,0,2,33,No,9434,No,No,No,No,No,0.6,23.3,27.831,81.0029
ACC100693,25-12-2023,2023,12,25,Monday,22:42,Q4,Karnataka,Karnataka_District-5,South,Urban,State Highway,Bridge,Foggy,Very Poor,Dry,Night - Streetlight,Moderate,Two-Wheeler,3,28,Male,8,60,44,No,N/A,No,No,Overspeeding,Rear-end Collision,Serious,3,0,3,31,Yes,58749,No,Yes,No,No,No,3.2,15.6,14.4177,75.5398
ACC100216,27-06-2024,2024,6,27,Thursday,18:05,Q2,Tamil Nadu,Tamil_District-8,South,Urban,State Highway,Junction,Clear,Good,Dry,Dusk/Dawn,Moderate,Bus,3,19,Male,0,60,51,N/A,N/A,Yes,No,Drunk Driving,Pedestrian Hit,Serious,3,1,2,,Yes,71820,Yes,Yes,No,No,No,0.5,22.9,10.8059,77.8729
ACC100099,27-03-2024,2024,3,27,Wednesday,20:40,Q1,Telangana,Telangana_District-6,South,Rural,National Highway,Flyover,Cloudy,Moderate,Dry,Night - Streetlight,Moderate,Auto-Rickshaw,2,21,Male,0,80,67,N/A,N/A,No,No,Mobile Phone Usage,Vehicle Rollover,Minor,1,0,1,19,Yes,15378,Yes,No,No,No,No,1.4,30.6,18.2781,78.1919
ACC100432,22-05-2024,2024,5,22,Wednesday,22:36,Q2,Andhra Pradesh,Andhra_District-4,South,Rural,National Highway,Junction,Clear,Good,Under Construction,Night - Streetlight,Moderate,Two-Wheeler,2,27,Male,4,80,120,Yes,N/A,No,No,Brake Failure,Pedestrian Hit,Fatal,2,1,1,24,Yes,214534,Yes,Yes,No,No,No,4,26.8,16.5353,79.6448
ACC100390,01-07-2023,2023,7,1,Saturday,19:45,Q3,Telangana,Telangana_District-7,South,Rural,State Highway,Flyover,,Good,Under Construction,Night - Streetlight,High,Two-Wheeler,1,19,Male,0,60,85,Yes,N/A,No,No,Wrong Side Driving,Side Collision,Fatal,8,3,5,44,Yes,120627,Yes,Yes,No,No,No,,18.9,17.4473,79.2421
ACC100736,24-12-2024,2024,12,24,Tuesday,18:52,Q4,Rajasthan,Rajasthan_District-7,North,Urban,Village Road,Straight Road,Stormy,Poor,Dry,Dusk/Dawn,High,Truck,2,25,Male,2,30,37,N/A,N/A,Yes,No,Overspeeding,Head-on Collision,Fatal,4,3,1,18,No,158393,Yes,Yes,No,No,No,3.1,12.3,26.1634,74.5294
ACC101412,19-02-2023,2023,2,19,Sunday,09:32,Q1,West Bengal,West_District-4,East,Urban,State Highway,Roundabout,Rainy,Poor,Dry,Daylight,Very High,Car,2,38,Male,16,60,48,N/A,Yes,No,No,Overspeeding,Vehicle Rollover,Serious,7,1,6,30,Yes,80053,No,Yes,No,No,No,28.5,22.6,23.8925,86.6769
ACC100013,19-02-2024,2024,2,19,Monday,19:55,Q1,Maharashtra,Maharashtra_District-5,West,Rural,State Highway,Junction,Clear,Good,Under Construction,Night - Streetlight,High,Truck,2,46,Male,23,60,89,N/A,N/A,No,No,Pedestrian Crossing Negligence,Head-on Collision,Serious,2,1,1,27,Yes,63708,Yes,Yes,No,No,Yes,0.7,18.5,19.8369,77.2105
ACC100729,27-03-2023,2023,3,27,Monday,19:24,Q1,Odisha,Odisha_District-7,East,Urban,Expressway,Roundabout,Foggy,Very Poor,Under Construction,Night - No Streetlight,High,Car,3,34,Male,11,100,132,N/A,Yes,No,No,Fatigue/Sleepy Driving,Hit and Run,Fatal,2,2,0,,Yes,156634,Yes,Yes,No,No,No,0.7,34,21.3263,84.6272
ACC101605,20-02-2024,2024,2,20,Tuesday,20:07,Q1,Jammu and Kashmir,Jammu_District-2,North,Rural,City Road,Curve/Bend,Rainy,Poor,Potholes,Night - Streetlight,Very High,Bus,4,40,Female,15,40,53,N/A,N/A,No,No,Mobile Phone Usage,Rear-end Collision,Fatal,1,1,0,49,No,238739,Yes,Yes,No,No,No,3.1,23.5,34.3151,75.8764
ACC100168,21-04-2024,2024,4,21,Sunday,16:10,Q2,Rajasthan,Rajasthan_District-2,North,Urban,Expressway,Roundabout,,Good,Dry,Daylight,Moderate,Tractor,3,48,Male,24,100,164,N/A,N/A,No,No,Drunk Driving,Head-on Collision,Fatal,4,3,1,33,No,273888,Yes,Yes,No,No,No,2.3,25.9,27.0712,74.7923
ACC101514,26-10-2023,2023,10,26,Thursday,11:42,Q4,Bihar,Bihar_District-5,East,Rural,Expressway,Curve/Bend,Rainy,Poor,Wet,Daylight,High,Truck,2,31,Male,6,100,84,N/A,N/A,No,No,Drunk Driving,Rear-end Collision,Serious,2,0,2,22,Yes,66345,No,Yes,Yes,No,No,6.9,32.1,24.8226,84.9558
ACC100871,07-09-2024,2024,9,7,Saturday,17:11,Q3,Uttar Pradesh,Uttar_District-6,North,Rural,Village Road,Straight Road,Stormy,Poor,Under Construction,Daylight,High,Car,4,31,Male,12,30,30,N/A,Yes,No,No,Fatigue/Sleepy Driving,Hit and Run,Minor,0,0,0,32,Yes,17137,Yes,Yes,Yes,No,No,3.6,,27.9739,81.2355
ACC100189,16-11-2024,2024,11,16,Saturday,04:49,Q4,Karnataka,Karnataka_District-4,South,Urban,Village Road,Roundabout,Clear,Good,Under Construction,Night - No Streetlight,Moderate,Tractor,3,26,Female,3,30,32,N/A,N/A,No,No,Overspeeding,Side Collision,Minor,1,0,1,28,No,24861,No,No,No,No,No,0,27.1,15.2859,75.3996
ACC101021,13-07-2024,2024,7,13,Saturday,04:20,Q3,West Bengal,West_District-1,East,Rural,City Road,Junction,Clear,Good,Wet,Night - Streetlight,Moderate,Pedestrian-Involved,3,23,Female,1,40,37,N/A,N/A,No,No,Pedestrian Crossing Negligence,Head-on Collision,Minor,1,0,1,29,No,13478,No,No,No,No,No,2.1,27,23.3537,87.0737
ACC100044,20-06-2024,2024,6,20,Thursday,09:48,Q2,Rajasthan,Rajasthan_District-7,North,Rural,Village Road,Bridge,Cloudy,Moderate,Dry,Daylight,Moderate,Bus,3,48,Female,25,30,40,N/A,N/A,No,No,Wrong Side Driving,Head-on Collision,Fatal,2,1,1,18,No,82808,Yes,Yes,No,No,No,,36.6,27.8155,74.3531
ACC101050,30-01-2023,2023,1,30,Monday,18:28,Q1,Andhra Pradesh,Andhra_District-1,South,Urban,State Highway,Roundabout,Cloudy,Moderate,Dry,Dusk/Dawn,Very High,Pedestrian-Involved,2,25,Male,5,60,81,N/A,N/A,No,No,Overtaking,Rear-end Collision,Serious,3,1,2,32,Yes,61386,No,Yes,No,No,No,3,24.5,17.1491,79.4411
ACC100010,22-06-2023,2023,6,22,Thursday,18:02,Q2,Tamil Nadu,Tamil_District-2,South,Urban,State Highway,Straight Road,Clear,Good,Dry,Dusk/Dawn,High,Car,2,24,Male,0,60,55,N/A,Yes,No,No,Fatigue/Sleepy Driving,Vehicle Rollover,Minor,0,0,0,,Yes,14785,Yes,Yes,Yes,No,No,2,30.2,10.827,77.8646
ACC101748,24-08-2023,2023,8,24,Thursday,08:27,Q3,Rajasthan,Rajasthan_District-5,North,Rural,City Road,Roundabout,Clear,Good,Dry,Daylight,Very High,Car,1,18,Male,0,40,56,N/A,Yes,No,Yes,Mobile Phone Usage,Vehicle Rollover,Serious,4,0,4,21,Yes,45586,Yes,Yes,No,No,No,1.5,27.7,26.8767,74.5901
ACC100148,15-11-2024,2024,11,15,Friday,20:52,Q4,Rajasthan,Rajasthan_District-6,North,Rural,State Highway,Bridge,Cloudy,Moderate,Dry,Night - No Streetlight,Moderate,Two-Wheeler,3,22,Male,3,60,90,No,N/A,Yes,No,Overspeeding,Rear-end Collision,Fatal,3,1,2,5,Yes,217545,No,Yes,No,Yes,No,1,22.1,27.1609,73.6297
ACC100778,14-12-2024,2024,12,14,Saturday,17:20,Q4,Rajasthan,Rajasthan_District-5,North,Rural,Expressway,Roundabout,Clear,Good,Dry,Daylight,High,Bus,1,24,Male,,100,123,N/A,N/A,No,No,Overspeeding,Vehicle Rollover,Serious,4,1,3,18,Yes,38214,Yes,Yes,No,No,No,0.4,20.4,27.0587,75.1828
ACC100014,13-05-2023,2023,5,13,Saturday,02:55,Q2,Gujarat,Gujarat_District-4,West,Urban,City Road,Flyover,Rainy,Poor,Wet,Night - No Streetlight,Moderate,Two-Wheeler,4,48,Male,29,40,39,Yes,N/A,No,No,Overspeeding,Head-on Collision,Fatal,5,4,1,38,No,145051,Yes,Yes,No,No,No,32.1,20.7,23.8775,70.7275
ACC100880,16-12-2023,2023,12,16,Saturday,17:48,Q4,Meghalaya,Meghalaya_District-8,Northeast,Rural,City Road,Flyover,Rainy,Poor,Wet,Daylight,Very High,Bus,2,57,Female,38,40,34,N/A,N/A,Yes,No,Drunk Driving,Pedestrian Hit,Serious,2,0,2,27,No,57398,No,Yes,Yes,No,No,5.1,21.2,25.433,91.1026
ACC100508,15-04-2023,2023,4,15,Saturday,19:58,Q2,Telangana,Telangana_District-1,South,Urban,City Road,Bridge,Clear,Good,Potholes,Night - No Streetlight,Moderate,Bus,2,48,Male,27,40,62,N/A,N/A,No,No,Poor Road Condition,Rear-end Collision,Fatal,4,2,2,23,Yes,160684,Yes,Yes,No,No,No,1.7,39.8,18.2402,78.9629
ACC101389,25-11-2023,2023,11,25,Saturday,06:07,Q4,Manipur,Manipur_District-6,Northeast,Urban,National Highway,Curve/Bend,Clear,Good,Dry,Dusk/Dawn,Very High,Two-Wheeler,3,19,Male,0,80,114,Yes,N/A,No,No,Overspeeding,Side Collision,Fatal,6,2,4,24,Yes,134717,Yes,Yes,No,No,Yes,2.6,25.4,24.5383,95.0658
ACC101152,09-02-2024,2024,2,9,Friday,10:49,Q1,Bihar,Bihar_District-1,East,Rural,National Highway,Junction,Rainy,Poor,Dry,Daylight,Very High,Two-Wheeler,2,43,Male,22,80,108,Yes,N/A,No,No,Fog/Low Visibility,Vehicle Rollover,Fatal,4,4,0,45,Yes,268962,Yes,Yes,No,No,No,16.1,22,25.9533,84.9059
ACC100861,10-11-2023,2023,11,10,Friday,17:22,Q4,Telangana,Telangana_District-3,South,Urban,State Highway,Flyover,Clear,Good,Under Construction,Daylight,Moderate,Two-Wheeler,1,32,Male,7,60,44,No,N/A,No,No,Fatigue/Sleepy Driving,Head-on Collision,Minor,0,0,0,24,No,12394,No,No,No,No,No,1.2,26.4,18.4363,79.1633
ACC100902,04-08-2024,2024,8,4,Sunday,08:47,Q3,Tamil Nadu,Tamil_District-6,South,Urban,Village Road,Curve/Bend,Foggy,Very Poor,Wet,Daylight,High,Bicycle,3,18,Male,0,30,19,N/A,N/A,No,No,Overspeeding,Multi-Vehicle Pileup,Serious,4,0,4,12,Yes,37917,No,Yes,No,No,No,0.1,34.1,11.3474,78.3751
ACC100368,15-04-2023,2023,4,15,Saturday,17:45,Q2,Tamil Nadu,Tamil_District-4,South,Rural,City Road,Bridge,Clear,Good,Dry,Daylight,High,Car,4,41,Female,16,40,35,N/A,Yes,No,No,Overtaking,Vehicle Rollover,Minor,2,0,2,42,No,8972,Yes,No,Yes,No,No,0.1,27.6,11.4514,77.5441
ACC100937,09-10-2024,2024,10,9,Wednesday,17:13,Q4,Rajasthan,Rajasthan_District-1,North,Rural,Expressway,Flyover,Clear,Good,Potholes,Daylight,High,Bus,2,32,Female,9,100,100,N/A,N/A,No,No,Overspeeding,Multi-Vehicle Pileup,Minor,0,0,0,28,No,16837,No,No,No,No,No,0.4,32.8,27.2535,75.7636
ACC100864,25-06-2023,2023,6,25,Sunday,04:42,Q2,Tamil Nadu,Tamil_District-3,South,Rural,Village Road,Flyover,Clear,Good,Dry,Night - No Streetlight,High,Car,1,32,Male,12,30,40,N/A,No,No,No,Poor Road Condition,Side Collision,Fatal,2,1,1,16,Yes,121350,No,Yes,No,No,No,0.7,25.7,11.8809,77.9727
ACC100639,03-06-2024,2024,6,3,Monday,17:11,Q2,Bihar,Bihar_District-7,East,Urban,City Road,Roundabout,Cloudy,Moderate,Under Construction,Daylight,High,Two-Wheeler,6,40,Male,18,40,51,No,N/A,No,Yes,Mobile Phone Usage,Rear-end Collision,Serious,5,1,4,17,No,32346,Yes,Yes,No,No,No,0.3,25.7,25.6111,84.7339
ACC100566,23-11-2024,2024,11,23,Saturday,08:25,Q4,Delhi,Delhi_District-6,North,Urban,City Road,Straight Road,Clear,Good,Wet,Daylight,High,Truck,2,23,Male,4,40,56,N/A,N/A,No,No,Fog/Low Visibility,Vehicle Rollover,Serious,2,1,1,15,Yes,54826,Yes,Yes,No,No,No,0.9,24.2,27.9631,76.1191
ACC100661,10-11-2024,2024,11,10,Sunday,10:51,Q4,Andhra Pradesh,Andhra_District-1,South,Urban,Village Road,Roundabout,Clear,Good,Oil Spill,Daylight,High,Two-Wheeler,2,27,Male,8,30,21,No,N/A,No,No,Pedestrian Crossing Negligence,Vehicle Rollover,Minor,2,0,2,34,No,,Yes,No,No,Yes,No,0,25.3,15.8931,80.6263
ACC100962,23-08-2024,2024,8,23,Friday,21:52,Q3,Maharashtra,Maharashtra_District-5,West,Urban,Village Road,Curve/Bend,Clear,Good,Potholes,Night - No Streetlight,High,Car,1,47,Male,26,30,29,N/A,Yes,No,No,Overspeeding,Vehicle Rollover,Minor,1,0,1,34,Yes,13841,No,No,No,No,No,1.5,26.4,20.0291,74.4724
ACC101816,07-02-2024,2024,2,7,Wednesday,20:42,Q1,Punjab,Punjab_District-3,North,Rural,National Highway,Roundabout,Rainy,Poor,Under Construction,Night - Streetlight,High,Car,3,42,Female,18,80,89,N/A,Yes,No,No,Fatigue/Sleepy Driving,Head-on Collision,Fatal,4,1,3,43,Yes,221303,No,Yes,No,No,No,0.5,20,30.992,74.8085
ACC101049,17-01-2023,2023,1,17,Tuesday,22:05,Q1,Rajasthan,Rajasthan_District-8,North,Urban,National Highway,Roundabout,Clear,Good,Dry,Night - Streetlight,Moderate,Two-Wheeler,3,45,Male,24,80,100,Yes,N/A,No,No,Fog/Low Visibility,Head-on Collision,Serious,4,1,3,36,Yes,43608,Yes,Yes,No,No,No,0.1,24.7,27.054,74.2364
ACC101802,30-04-2023,2023,4,30,Sunday,08:18,Q2,West Bengal,West_District-3,East,Urban,National Highway,Flyover,Foggy,Very Poor,Dry,Daylight,Very High,Two-Wheeler,4,25,Male,5,80,77,Yes,N/A,No,Yes,Mobile Phone Usage,Head-on Collision,Serious,3,1,2,27,Yes,92059,Yes,Yes,No,No,No,0.7,30,22.9742,87.5296
ACC100842,10-06-2023,2023,6,10,Saturday,10:02,Q2,Arunachal Pradesh,Arunachal_District-4,Northeast,Rural,Expressway,Roundabout,Clear,Good,Dry,Daylight,High,Bus,3,53,Male,32,100,100,N/A,N/A,No,No,Poor Road Condition,Pedestrian Hit,Minor,1,0,1,30,Yes,15351,No,Yes,No,No,No,1.6,24.9,28.1792,94.3508
ACC101757,26-01-2023,2023,1,26,Thursday,22:37,Q1,Rajasthan,Rajasthan_District-4,North,Urban,City Road,Roundabout,Cloudy,Moderate,Dry,Night - No Streetlight,High,Car,1,20,Male,0,40,63,N/A,No,No,Yes,Mobile Phone Usage,Rear-end Collision,Fatal,5,3,2,25,Yes,226936,No,Yes,No,No,No,0.4,12.9,27.2017,74.4934
ACC100579,15-02-2024,2024,2,15,Thursday,21:31,Q1,Telangana,Telangana_District-6,South,Urban,Expressway,Junction,,Good,Under Construction,Night - Streetlight,High,Two-Wheeler,6,24,Male,0,100,109,No,N/A,No,No,Overtaking,Multi-Vehicle Pileup,Serious,6,0,6,18,Yes,79424,Yes,Yes,No,No,No,0.8,23.2,18.9018,79.2754
ACC101477,01-12-2023,2023,12,1,Friday,00:18,Q4,Sikkim,Sikkim_District-6,Northeast,Urban,Expressway,Bridge,Clear,Good,Under Construction,Night - Streetlight,Low,Bus,1,25,Male,0,100,143,N/A,N/A,No,No,Brake Failure,Side Collision,Fatal,4,2,2,31,Yes,6935,Yes,Yes,No,No,No,0.1,12.5,27.8405,88.953
ACC101874,23-04-2024,2024,4,23,Tuesday,20:47,Q2,Madhya Pradesh,Madhya_District-7,Central,Rural,Village Road,Straight Road,Cloudy,Moderate,Potholes,Night - Streetlight,Very High,Truck,1,30,Male,7,30,41,N/A,N/A,No,Yes,Pedestrian Crossing Negligence,Head-on Collision,Fatal,2,1,1,14,Yes,221006,Yes,Yes,No,No,No,0,30,23.8591,78.4431
ACC100116,14-07-2023,2023,7,14,Friday,20:12,Q3,West Bengal,West_District-7,East,Urban,State Highway,Bridge,Clear,Good,Dry,Night - Streetlight,High,Truck,3,19,Male,0,60,111,N/A,N/A,No,No,Mobile Phone Usage,Vehicle Rollover,Serious,6,0,6,28,Yes,977773,Yes,Yes,No,No,No,1.1,24.1,23.4787,87.4806
ACC100025,23-11-2023,2023,11,23,Thursday,03:02,Q4,Odisha,Odisha_District-1,East,Urban,Expressway,Junction,Foggy,Very Poor,Potholes,Night - No Streetlight,Moderate,Truck,1,50,Male,28,100,94,N/A,N/A,No,No,Overspeeding,Hit and Run,Fatal,3,2,1,45,Yes,77435,Yes,Yes,No,Yes,No,2.1,27.4,20.8213,83.7015
ACC100371,27-02-2024,2024,2,27,Tuesday,21:39,Q1,Uttar Pradesh,Uttar_District-1,North,Urban,City Road,Straight Road,Clear,Good,Wet,Night - No Streetlight,High,Car,2,26,Male,5,40,35,N/A,Yes,No,No,Signal Jumping,Rear-end Collision,Serious,5,0,5,18,Yes,46260,Yes,Yes,No,No,No,0.3,16.2,26.5277,80.0984
ACC101890,12-12-2023,2023,12,12,Tuesday,10:38,Q4,Madhya Pradesh,Madhya_District-7,Central,Urban,National Highway,Flyover,Rainy,Poor,Potholes,Daylight,High,Car,3,41,Male,19,80,86,N/A,Yes,No,No,Mobile Phone Usage,Head-on Collision,Fatal,4,3,1,8,No,118726,Yes,Yes,No,No,No,4.8,16.7,22.7545,78.7688
ACC100097,17-05-2023,2023,5,17,Wednesday,20:07,Q2,Uttar Pradesh,Uttar_District-1,North,Urban,City Road,Junction,Cloudy,Moderate,Dry,Night - No Streetlight,Low,Bus,1,57,Male,32,40,46,N/A,N/A,Yes,Yes,Drunk Driving,Hit and Run,Serious,5,0,5,35,No,31264,No,Yes,No,No,No,0.3,23.9,26.8668,80.6668
ACC101543,05-08-2024,2024,8,5,Monday,18:52,Q3,Uttar Pradesh,Uttar_District-5,North,Rural,Village Road,Straight Road,Clear,Good,Under Construction,Dusk/Dawn,Very High,Auto-Rickshaw,1,22,Female,0,30,30,N/A,N/A,No,No,Mobile Phone Usage,Head-on Collision,Minor,1,0,1,18,No,11132,Yes,Yes,No,No,No,0.8,25.5,26.1573,81.5605
ACC101281,07-10-2024,2024,10,7,Monday,19:08,Q4,Madhya Pradesh,Madhya_District-6,Central,Rural,Expressway,Junction,Clear,Good,Potholes,Night - No Streetlight,Very High,Car,3,46,Male,23,100,140,N/A,No,No,No,Overspeeding,Multi-Vehicle Pileup,Fatal,5,1,4,17,No,132550,No,Yes,No,No,No,,28.2,23.953,78.3971
ACC101385,19-09-2024,2024,9,19,Thursday,09:32,Q3,Uttar Pradesh,Uttar_District-6,North,Urban,Village Road,Curve/Bend,Foggy,Very Poor,Under Construction,Daylight,High,Two-Wheeler,3,37,Male,16,30,24,Yes,N/A,No,No,Overspeeding,Multi-Vehicle Pileup,Minor,0,0,0,25,Yes,15956,Yes,No,No,No,Yes,2.5,27.8,26.4491,80.8725
ACC100100,14-04-2024,2024,4,14,Sunday,19:36,Q2,Bihar,Bihar_District-5,East,Urban,Village Road,Roundabout,Clear,Good,Dry,Night - Streetlight,Very High,Car,2,35,Male,12,30,27,N/A,No,No,No,Drunk Driving,Rear-end Collision,Serious,3,0,3,37,No,25174,No,Yes,No,No,No,0,29.4,25.4195,83.9887
ACC101443,21-03-2023,2023,3,21,Tuesday,17:47,Q1,Rajasthan,Rajasthan_District-3,North,Urban,Expressway,Flyover,Rainy,Poor,Dry,Daylight,High,Car,1,34,Male,15,100,132,N/A,Yes,No,No,Mobile Phone Usage,Pedestrian Hit,Fatal,3,2,1,33,Yes,138767,No,Yes,No,Yes,No,19.3,26.7,27.0307,72.3935
ACC100716,22-06-2023,2023,6,22,Thursday,15:58,Q2,Karnataka,Karnataka_District-6,South,Rural,State Highway,Flyover,Clear,Good,Potholes,Daylight,High,Bus,1,25,Male,0,60,97,N/A,N/A,No,No,Fog/Low Visibility,Vehicle Rollover,Serious,2,0,2,18,,57962,No,Yes,No,No,No,0.2,26,15.1862,75.5887
ACC100358,03-05-2024,2024,5,3,Friday,22:15,Q2,Bihar,Bihar_District-7,East,Urban,City Road,Bridge,Cloudy,Moderate,Oil Spill,Night - Streetlight,Moderate,Tractor,2,42,Male,23,40,51,N/A,N/A,No,No,Mobile Phone Usage,Head-on Collision,Minor,0,0,0,6,Yes,12182,No,Yes,Yes,No,No,0.7,27.6,24.7604,85.3312
ACC101498,11-08-2023,2023,8,11,Friday,04:13,Q3,West Bengal,West_District-5,East,Rural,Village Road,Bridge,Clear,Good,Dry,Night - Streetlight,High,Two-Wheeler,3,45,Male,22,30,34,Yes,N/A,No,No,Signal Jumping,Side Collision,Minor,1,0,1,38,Yes,12345,No,Yes,No,No,No,3.3,29.1,23.4275,87.6997
ACC100695,27-12-2024,2024,12,27,Friday,19:50,Q4,Andhra Pradesh,Andhra_District-7,South,Urban,City Road,Bridge,Foggy,Very Poor,Dry,Night - Streetlight,Moderate,Two-Wheeler,2,54,Female,32,40,56,Yes,N/A,No,No,Wrong Side Driving,Hit and Run,Fatal,1,1,0,31,Yes,148309,No,Yes,No,No,No,2.4,22.3,15.886,77.9337
ACC101549,08-09-2024,2024,9,8,Sunday,09:45,Q3,Karnataka,Karnataka_District-3,South,Rural,State Highway,Straight Road,Clear,Good,Dry,Daylight,Very High,Auto-Rickshaw,2,18,Male,0,60,87,N/A,N/A,No,Yes,Overspeeding,Side Collision,Fatal,3,2,1,35,Yes,144004,No,Yes,Yes,No,No,0.2,36.2,16.7311,75.5753
ACC101632,14-11-2024,2024,11,14,Thursday,22:27,Q4,Haryana,Haryana_District-4,North,Rural,Village Road,Bridge,Clear,Good,Under Construction,Night - No Streetlight,Low,Tractor,3,39,Male,11,30,38,N/A,N/A,No,No,Overtaking,Head-on Collision,Minor,2,0,2,32,Yes,19516,No,No,No,No,No,0.9,23.5,28.6514,77.0179
ACC101778,01-10-2023,2023,10,1,Sunday,10:59,Q4,Rajasthan,Rajasthan_District-3,North,Urban,National Highway,Curve/Bend,Rainy,Poor,Potholes,Daylight,High,Bus,1,41,Male,21,80,66,N/A,N/A,No,No,Mobile Phone Usage,Vehicle Rollover,Serious,3,0,3,30,No,101397,Yes,Yes,No,No,No,1.1,24.1,26.4347,73.1667
ACC100638,21-04-2023,2023,4,21,Friday,08:11,Q2,Punjab,Punjab_District-7,North,Urban,Village Road,Junction,Foggy,Very Poor,Under Construction,Daylight,High,Two-Wheeler,4,24,Female,0,30,42,Yes,N/A,No,No,Mobile Phone Usage,Pedestrian Hit,Fatal,2,1,1,29,Yes,,Yes,Yes,Yes,No,No,2.1,30.9,30.5647,76.4297
ACC100682,30-10-2023,2023,10,30,Monday,14:03,Q4,Karnataka,Karnataka_District-6,South,Urban,City Road,Roundabout,Clear,Good,Dry,Daylight,Moderate,Auto-Rickshaw,2,38,Male,16,40,67,N/A,N/A,No,No,Overtaking,Rear-end Collision,Fatal,5,2,3,26,Yes,214174,No,Yes,No,No,No,2.9,21.6,14.8063,75.7097
ACC100604,09-08-2023,2023,8,9,Wednesday,10:15,Q3,Kerala,Kerala_District-2,South,Rural,Expressway,Roundabout,Clear,Good,Dry,Daylight,High,Two-Wheeler,4,32,Female,10,100,105,Yes,N/A,No,Yes,Mobile Phone Usage,Hit and Run,Minor,3,0,3,39,No,,Yes,No,No,No,No,4.8,28.7,10.6648,76.1028
ACC100271,02-04-2024,2024,4,2,Tuesday,18:13,Q2,Meghalaya,Meghalaya_District-3,Northeast,Urban,State Highway,Flyover,Rainy,Poor,Wet,Dusk/Dawn,High,Two-Wheeler,1,25,Male,3,60,53,No,N/A,No,No,Wrong Side Driving,Side Collision,Serious,2,0,2,6,,36077,Yes,Yes,No,No,No,0.5,32.3,26.0414,91.7784
ACC100466,08-03-2024,2024,3,8,Friday,22:29,Q1,Madhya Pradesh,Madhya_District-8,Central,Urban,National Highway,Junction,Clear,Good,Dry,Night - Streetlight,Moderate,Two-Wheeler,3,52,Male,29,80,118,No,N/A,No,No,Overspeeding,Hit and Run,Fatal,4,3,1,16,Yes,176179,Yes,Yes,No,No,Yes,2.1,22.6,24.1955,78.2644
